Terminal;StationsID;Bez;Bezirk; Station; Lage; Boxen; Status
101;1030;110;1010;Stephansplatz;Ecke Schulerstraﬂehinter dem Stephansdom;18;aktiv
102;1021;110;1010;Fahnengasse;Ecke HerrengasseU3 Station Herrengasse links beim Ausgang Fahnengasse;18;aktiv
103;1020;110;1010;Schottenring U4;Franz-Josefs-Kai / Ringturm / Hoehe WerdertorgasseU4 Station Schottenring beim Ausgang Salztorbruecke;21;aktiv
104;1023;110;1010;Schwedenplatz;Franz-Josefs-Kai / Rotenturmstraﬂebei der U-Bahnstation Schwedenplatz - Ausgang Rotenturmstraﬂe;30;aktiv
105;1033;110;1010;Julius Raab Platz;Urania /Franz Josefs Kai bei AspernbrueckeU4 Station Schwedenplatz - Ausgang Urania;20;aktiv
106;1024;110;1010;Stadtpark Stubenring;Parkring / Weiskirchner Str. / Stadtparkgegenueber dem Museum fuer Angewandte Kunst;20;aktiv
107;1025;110;1010;Volksgarten;Burgring / Volkstheater / BellariaU2, U3 Station Volkstheater - Ausgang Volksgarten;16;aktiv
108;1026;110;1010;Friedrich Schmidtplatz;Ecke LichtenfelsgasseU2 Station Rathaus;35;aktiv
109;1029;110;1010;Johannesgasse;Parkring / Stadtpark  beim Haupteingang des Kursalons;20;aktiv
110;1027;110;1010;Rathausplatz;Dr. Karl Lueger Ringgegenueber des Burgtheaters;20;aktiv
111;1055;110;1010;Oper;Opernring - Kaerntnerstraﬂe  U-Bahnstation Karlsplatz - Ausgang Oper;18;aktiv
112;1028;110;1010;Kaerntnerring;Ecke Akademiestraﬂein der Mitte der beiden Einkaufszentren der Ringstraﬂengalerien;16;aktiv
113;1134;110;1010;Universitaetsring;;38;aktiv
114;1144;110;1010;Hoher Markt;;26;aktiv
201;1069;120;1020;Heinestrasse;U-Bahn Aufgang Heinestraﬂe;38;aktiv
202;1065;120;1020;Nepomukgasse;Nestroyplatz U1;15;aktiv
203;1066;120;1020;Karmeliterplatz;;14;aktiv
204;1077;120;1020;Obere Donaustrasse;Obere Donaustraﬂe Ecke Herminengasse,U2 Schottenring Ausgang Herminengasse;20;aktiv
205;1078;120;1020;Novaragasse;Novaragasse/ Glockengasse,U2 Taborstraﬂe Ausgang Novaragasse;24;aktiv
206;1086;120;1020;Praterstern;Praterstern Schnellbahnunterfuehrung;40;aktiv
207;1080;120;1020;Messeplatz;Messeplatz;40;aktiv
208;1081;120;1020;Krieau;Vorgartenstraﬂe/Trabrennstraﬂe,Unter U2 Krieau;24;aktiv
209;1082;120;1020;Stadion Center;Meiereistraﬂe/Vorgartenstraﬂe,Unter U2 Stadion;40;aktiv
211;1138;120;1020;Suedportalstraﬂe;Gegenueber WU-Bibliothek;40;aktiv
212;1142;120;1020;Radingerstraﬂe;;33;aktiv
301;1031;130;1030;Schwarzenbergplatz;Rennweg / Ecke Zaunergassevis ‡ vis des Hochstrahlbrunnens;20;aktiv
302;1053;130;1030;Radetzkyplatz;bei der Schnellbahnunterfuehrung;28;aktiv
303;1059;130;1030;Wassergasse;Landstraﬂer Hauptstraﬂe Nr. 95bei Galeria;20;aktiv
304;1060;130;1030;Fasanplatz;Schnellbahnstation Rennweg;10;aktiv
305;1062;130;1030;Salmgasse;Landstraﬂer Hauptstraﬂebeim Rochusmarkt;18;aktiv
306;1109;130;1030;Arbeiterkammer;Prinz Eugen Straﬂe gegenueber 20-22;24;aktiv
